split_name,pair_type,label,pred_label,pred_class,probability,profile_row_id_a,platform_a,userName_a,fullName_a,user_folder_a,profile_row_id_b,platform_b,userName_b,fullName_b,user_folder_b,username_jaro,username_lev,username_token_sort,fullname_jaro,fullname_lev,fullname_token_sort,bio_tfidf_cosine,bio_sbert_cosine,domain_jaccard,url_jaccard,location_jaro,location_token_sort,mention_jaccard,hashtag_jaccard,style_caps_diff,style_avgword_diff,style_biolen_ratio,style_punct_diff,platform_pair_code,image_any_local,image_both_local,image_one_local_only,image_phash_sim,image_dhash_sim,image_brightness_diff,image_contrast_diff,image_entropy_diff,image_rgb_l1,image_filesize_ratio,image_face_count_diff,image_face_area_diff,image_blur_diff,image_metadata_any,image_caption_any,image_caption_bio_sbert_cross,image_caption_fullname_token_cross,image_caption_username_token_cross,is_tp,is_tn,is_fp,is_fn
test,positive,1,1,MATCH,1.0,8744,instagram,abroaderview,abroaderview volunteers,Abroaderview,8745,twitter,abroaderview,a broader view,Abroaderview,1.0,1.0,1.0,0.8019827998088869,0.4347826086956522,0.6486486486486487,0.5519595916841264,0.6649814248085022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2679425837320579,0.6,0.005555555555555555,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,8782,instagram,afnanaldimasi,afnan aldimasi,AfnanAlDimasi,8783,twitter,afnanaldimasi,afnan aldimasi,AfnanAlDimasi,1.0,1.0,1.0,1.0,1.0,1.0,0.8570666412080753,0.9772477149963379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11111111111111072,0.9850746268656716,0.000226142017186794,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,8808,instagram,anonymityfilms,ajakari mark angelo,AjakariMarkAngelo,8809,twitter,anonymityfilms,dirano,AjakariMarkAngelo,1.0,1.0,1.0,0.4415204678362572,0.26315789473684215,0.31999999999999995,0.3178959620397315,0.5068198442459106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.887700534759357,0.34418604651162793,0.002199874292897544,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,8890,instagram,etihwxela,alex white,AlexWhitePhotography,8891,twitter,etihwxela,alexwhite,AlexWhitePhotography,1.0,1.0,1.0,0.98,0.9,0.9473684210526316,0.22846123154722311,0.4473329484462738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4000000000000004,0.8409090909090909,0.06818181818181818,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,8894,instagram,alfreditoromano,romano,AlfreditoRomano,8895,twitter,alfreditoromano,alfredito r monero,AlfreditoRomano,1.0,1.0,1.0,0.5462962962962963,0.2777777777777778,0.41666666666666663,0.8452676674424461,0.8539116382598877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5523809523809522,0.9253731343283582,0.010471834376504573,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,8904,instagram,alienjon,alien jon,AlienJon,8905,twitter,alienjon,alien jon,AlienJon,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.22847974300384521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.857142857142857,0.0,0.18181818181818182,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,8940,instagram,alqamash,,Alqamash,8941,twitter,alqamash,,Alqamash,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.37834423780441284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5999999999999996,0.4,0.09230769230769231,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,3120,googleplus,andrewbatesg,andrew bates,AndrewBates,3121,twitter,andrewbates,andrew bates,AndrewBates,0.9833333333333333,0.9166666666666666,0.9565217391304348,1.0,1.0,1.0,0.048198495342570424,0.3800196945667267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7797270955165692,0.9171974522292994,0.02375265392781316,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,3130,googleplus,andrewpreble,andrew preble,AndrewPreble,3131,twitter,andrewpreble,andrew preble,AndrewPreble,1.0,1.0,1.0,1.0,1.0,1.0,0.44859505244348524,0.60048907995224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7125000000000004,0.6938775510204082,0.0033013205282112906,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
test,positive,1,1,MATCH,1.0,3244,googleplus,arielllarson,ariell larson,AriellLarson,3245,twitter,arielllarson,ariell larson,AriellLarson,1.0,1.0,1.0,1.0,1.0,1.0,0.040651945085843355,0.2658204138278961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.9523809523809523,0.013095238095238097,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1,0,0,0
