split_name,pair_type,label,pred_label,pred_class,probability,profile_row_id_a,platform_a,userName_a,fullName_a,user_folder_a,profile_row_id_b,platform_b,userName_b,fullName_b,user_folder_b,username_jaro,username_lev,username_token_sort,fullname_jaro,fullname_lev,fullname_token_sort,bio_tfidf_cosine,bio_sbert_cosine,domain_jaccard,url_jaccard,location_jaro,location_token_sort,mention_jaccard,hashtag_jaccard,style_caps_diff,style_avgword_diff,style_biolen_ratio,style_punct_diff,platform_pair_code,image_any_local,image_both_local,image_one_local_only,image_phash_sim,image_dhash_sim,image_brightness_diff,image_contrast_diff,image_entropy_diff,image_rgb_l1,image_filesize_ratio,image_face_count_diff,image_face_area_diff,image_blur_diff,image_metadata_any,image_caption_any,image_caption_bio_sbert_cross,image_caption_fullname_token_cross,image_caption_username_token_cross,is_tp,is_tn,is_fp,is_fn
test,hard_negative,0,1,MATCH,1.0,6714,googleplus,mitchellhall,mitchell hall,MitchellJHall,29054,twitter,mitchellhall,mitchell hall,mitchellhall,1.0,1.0,1.0,1.0,1.0,1.0,0.014098404827408179,0.6342965364456177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2857142857142856,0.279126213592233,0.07239341494301393,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,hard_negative,0,1,MATCH,1.0,2455,instagram,pullbackes,pullbackes,PullbackES,4515,twitter,pullbackes,pullbackes,espullback,1.0,1.0,1.0,1.0,1.0,1.0,0.07471226978938138,0.21039485931396484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2097902097902098,0.06293706293706294,2,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,random_negative,0,1,MATCH,0.9954128440366973,7715,twitter,islammouhammed,,salahislam,33282,googleplus,,,shaker909,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.32586050033569336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0999999999999996,0.5675675675675675,0.047619047619047616,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,random_negative,0,1,MATCH,0.9782971619365609,2562,googleplus,andreapessotto,andrea pessotto,settimocielo,11373,twitter,thinknow,lane goldstone,lanehalley,0.4642857142857142,0.0714285714285714,0.18181818181818177,0.6936507936507935,0.19999999999999996,0.27586206896551724,0.39259779784735305,0.45874980092048645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.6666666666666666,0.1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,random_negative,0,1,MATCH,0.9782971619365609,4548,googleplus,,,ezhikov,6519,twitter,shiibanee,,mawadashiba,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.15561023354530334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.6442307692307693,0.07333524684270952,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,hard_negative,0,1,MATCH,0.9782971619365609,11350,instagram,laachi,,laachi,11949,twitter,lachyab,,mohammedlachyab,0.7968253968253969,0.4285714285714286,0.6153846153846154,1.0,1.0,1.0,0.0,0.1422950029373169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.117647058823529,0.0,0.075,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,hard_negative,0,1,MATCH,0.9782971619365609,8086,googleplus,emedia,,sungheelee,35587,instagram,emri63,,urspamrein,0.6666666666666666,0.33333333333333337,0.5,1.0,1.0,1.0,0.0,0.1729869246482849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.285714285714286,0.0,0.027559055118110236,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,hard_negative,0,1,MATCH,0.9782971619365609,7814,googleplus,artemtomilov,,scraplesh,33700,instagram,armandodelucia,,socialcrm,0.5992063492063493,0.2857142857142857,0.3846153846153846,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,hard_negative,0,1,MATCH,0.9782971619365609,7705,twitter,eldoradoseo,,sacramentoseo,8086,googleplus,emedia,,sungheelee,0.5909090909090909,0.18181818181818177,0.3529411764705882,1.0,1.0,1.0,0.0,0.11164199560880661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714324,0.20078740157480315,0.007951211980855334,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
test,hard_negative,0,1,MATCH,0.9782971619365609,6135,twitter,eleazeta,,loleta,8086,googleplus,emedia,,sungheelee,0.625,0.375,0.4285714285714286,1.0,1.0,1.0,0.0,0.01614002324640751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857144,0.21653543307086615,0.027559055118110236,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,1,0
