Original_location,Location_raw,Location_clean,Location_type,Location_valid,Latitude,Longitude
,,,unknown,0,,
Colombia,colombia,colombia,text_location,1,,
,,,unknown,0,,
"Chicago, IL","chicago, il","chicago, il",text_location,1,,
,,,unknown,0,,
El Salvador,el salvador,el salvador,text_location,1,,
,,,unknown,0,,
"Portland, OR","portland, or","portland, or",text_location,1,,
,,,unknown,0,,
Pamplona,pamplona,pamplona,text_location,1,,
,,,unknown,0,,
Brazil,brazil,brazil,text_location,1,,
,,,unknown,0,,
"iPhone: 55.653542,12.542060","iphone: 55.653542,12.542060","55.653542,12.54206",coordinates,1,55.653542,12.54206
,,,unknown,0,,
Curitiba - Brazil,curitiba - brazil,curitiba - brazil,text_location,1,,
,,,unknown,0,,
"Fayetteville, GA","fayetteville, ga","fayetteville, ga",text_location,1,,
,,,unknown,0,,
The Multiverse,the multiverse,the multiverse,text_location,1,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
"ÜT: 37.928,-122.37706","üt: 37.928,-122.37706","37.928,-122.37706",coordinates,1,37.928,-122.37706
,,,unknown,0,,
"Amsterdam, The Netherlands","amsterdam, the netherlands","amsterdam, the netherlands",text_location,1,,
,,,unknown,0,,
TAIWAN,taiwan,taiwan,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
"Shanghai, China","shanghai, china","shanghai, china",text_location,1,,
,,,unknown,0,,
"Adelaide, Australia","adelaide, australia","adelaide, australia",text_location,1,,
,,,unknown,0,,
Sevilla (España),sevilla (españa),sevilla españa,text_location,1,,
,,,unknown,0,,
"Mi casa, teléfono","mi casa, teléfono","mi casa, teléfono",text_location,1,,
,,,unknown,0,,
"san francisco, california","san francisco, california","san francisco, california",text_location,1,,
,,,unknown,0,,
"Indianapolis, IN","indianapolis, in","indianapolis, in",text_location,1,,
,,,unknown,0,,
Badalona,badalona,badalona,text_location,1,,
,,,unknown,0,,
Indigo Universe,indigo universe,indigo universe,text_location,1,,
,,,unknown,0,,
"New York, NY, USA","new york, ny, usa","new york, ny, usa",text_location,1,,
,,,unknown,0,,
BRASIL,brasil,brasil,text_location,1,,
,,,unknown,0,,
"Ila Landsfengsel, Bærum, Norge","ila landsfengsel, bærum, norge","ila landsfengsel, bærum, norge",text_location,1,,
,,,unknown,0,,
"Alberta, Canada","alberta, canada","alberta, canada",text_location,1,,
,,,unknown,0,,
Santa Rosa,santa rosa,santa rosa,text_location,1,,
,,,unknown,0,,
Indianapolis,indianapolis,indianapolis,text_location,1,,
,,,unknown,0,,
"Caerleon, Wales","caerleon, wales","caerleon, wales",text_location,1,,
,,,unknown,0,,
"Miami, FL","miami, fl","miami, fl",text_location,1,,
,,,unknown,0,,
"Ann Arbor, Mi","ann arbor, mi","ann arbor, mi",text_location,1,,
,,,unknown,0,,
"Indianapolis, IN","indianapolis, in","indianapolis, in",text_location,1,,
,,,unknown,0,,
on venue,on venue,on venue,text_location,1,,
,,,unknown,0,,
Mataró; Barcelona,mataró; barcelona,mataró barcelona,text_location,1,,
,,,unknown,0,,
Bogotá D.C,bogotá d.c,bogotá d.c,text_location,1,,
,,,unknown,0,,
"Diest, Belgium","diest, belgium","diest, belgium",text_location,1,,
,,,unknown,0,,
"Stockholm, Sweden","stockholm, sweden","stockholm, sweden",text_location,1,,
,,,unknown,0,,
"50.932608,5.372173","50.932608,5.372173","50.932608,5.372173",coordinates,1,50.932608,5.372173
,,,unknown,0,,
Gotham,gotham,gotham,text_location,1,,
,,,unknown,0,,
"Austin, TX","austin, tx","austin, tx",text_location,1,,
,,,unknown,0,,
"Saratoga, New York","saratoga, new york","saratoga, new york",text_location,1,,
,,,unknown,0,,
"London, England","london, england","london, england",text_location,1,,
,,,unknown,0,,
Baltimore and D.C.,baltimore and d.c.,baltimore and d.c.,text_location,1,,
,,,unknown,0,,
Calgary,calgary,calgary,text_location,1,,
,,,unknown,0,,
"Bushwick, BK, NYC","bushwick, bk, nyc","bushwick, bk, nyc",text_location,1,,
,,,unknown,0,,
LA,la,la,text_location,1,,
,,,unknown,0,,
"Land, Sea or Air.","land, sea or air.","land, sea or air.",text_location,1,,
,,,unknown,0,,
Melbourne,melbourne,melbourne,text_location,1,,
,,,unknown,0,,
diplomatic quarters in riyadh,diplomatic quarters in riyadh,diplomatic quarters in riyadh,text_location,1,,
,,,unknown,0,,
Your heart.,your heart.,your heart.,text_location,1,,
,,,unknown,0,,
"Phoenix, AZ, USA","phoenix, az, usa","phoenix, az, usa",text_location,1,,
,,,unknown,0,,
214,214,214,text_location,1,,
,,,unknown,0,,
"Redmond, WA","redmond, wa","redmond, wa",text_location,1,,
,,,unknown,0,,
"Zaventem, België","zaventem, belgië","zaventem, belgië",text_location,1,,
,,,unknown,0,,
"Zagreb, Croatia","zagreb, croatia","zagreb, croatia",text_location,1,,
,,,unknown,0,,
Metro Manila,metro manila,metro manila,text_location,1,,
,,,unknown,0,,
"London, England","london, england","london, england",text_location,1,,
,,,unknown,0,,
sydney,sydney,sydney,text_location,1,,
,,,unknown,0,,
"41.590635,-93.6269","41.590635,-93.6269","41.590635,-93.6269",coordinates,1,41.590635,-93.6269
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
South of the UK  ⚓,south of the uk,south of the uk,text_location,1,,
,,,unknown,0,,
"Ontario, Canada","ontario, canada","ontario, canada",text_location,1,,
,,,unknown,0,,
"Brooklyn, NY","brooklyn, ny","brooklyn, ny",text_location,1,,
,,,unknown,0,,
"Helsinki, Finland","helsinki, finland","helsinki, finland",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Vancouver, Canada","vancouver, canada","vancouver, canada",text_location,1,,
,,,unknown,0,,
Oakland,oakland,oakland,text_location,1,,
,,,unknown,0,,
no sé,no sé,no sé,text_location,1,,
,,,unknown,0,,
"Baton Rouge, Louisiana","baton rouge, louisiana","baton rouge, louisiana",text_location,1,,
,,,unknown,0,,
San Francisco,san francisco,san francisco,text_location,1,,
,,,unknown,0,,
Tokyo,tokyo,tokyo,text_location,1,,
,,,unknown,0,,
Amsterdam,amsterdam,amsterdam,text_location,1,,
,,,unknown,0,,
Brazil,brazil,brazil,text_location,1,,
,,,unknown,0,,
"Miami Beach, FL","miami beach, fl","miami beach, fl",text_location,1,,
,,,unknown,0,,
Ginnungagap,ginnungagap,ginnungagap,text_location,1,,
,,,unknown,0,,
Paradise City,paradise city,paradise city,text_location,1,,
,,,unknown,0,,
San Francisco,san francisco,san francisco,text_location,1,,
,,,unknown,0,,
Valencia,valencia,valencia,text_location,1,,
,,,unknown,0,,
"Boston, Ma","boston, ma","boston, ma",text_location,1,,
,,,unknown,0,,
España,españa,españa,text_location,1,,
,,,unknown,0,,
"Madison, WI","madison, wi","madison, wi",text_location,1,,
,,,unknown,0,,
the only constant is change,the only constant is change,the only constant is change,text_location,1,,
,,,unknown,0,,
Bay Area,bay area,bay area,text_location,1,,
,,,unknown,0,,
Chicago,chicago,chicago,text_location,1,,
,,,unknown,0,,
Monterey Bay Area,monterey bay area,monterey bay area,text_location,1,,
,,,unknown,0,,
Memphis. NYC. West VA. On TV.,memphis. nyc. west va. on tv.,memphis. nyc. west va. on tv.,text_location,1,,
,,,unknown,0,,
"Dallas, TX","dallas, tx","dallas, tx",text_location,1,,
,,,unknown,0,,
London,london,london,text_location,1,,
,,,unknown,0,,
London,london,london,text_location,1,,
,,,unknown,0,,
"Trenton, New Jersey","trenton, new jersey","trenton, new jersey",text_location,1,,
,,,unknown,0,,
Chubura! Belgrade,chubura! belgrade,chubura belgrade,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Texas,texas,texas,text_location,1,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
Madrid,madrid,madrid,text_location,1,,
,,,unknown,0,,
Porto,porto,porto,text_location,1,,
,,,unknown,0,,
New Zealand,new zealand,new zealand,text_location,1,,
,,,unknown,0,,
Only in your dreams,only in your dreams,only in your dreams,text_location,1,,
,,,unknown,0,,
"Austin, TX","austin, tx","austin, tx",text_location,1,,
,,,unknown,0,,
"Berne, Switzerland","berne, switzerland","berne, switzerland",text_location,1,,
,,,unknown,0,,
"Birmingham, AL","birmingham, al","birmingham, al",text_location,1,,
,,,unknown,0,,
"bay area, ca","bay area, ca","bay area, ca",text_location,1,,
,,,unknown,0,,
New York,new york,new york,text_location,1,,
,,,unknown,0,,
"Bend, OR","bend, or","bend, or",text_location,1,,
,,,unknown,0,,
Madrid,madrid,madrid,text_location,1,,
,,,unknown,0,,
"Adelaide, Australia","adelaide, australia","adelaide, australia",text_location,1,,
,,,unknown,0,,
"Houston, TX","houston, tx","houston, tx",text_location,1,,
,,,unknown,0,,
Miami,miami,miami,text_location,1,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
,,,unknown,0,,
Outer Space,outer space,outer space,text_location,1,,
,,,unknown,0,,
Curitiba,curitiba,curitiba,text_location,1,,
,,,unknown,0,,
Planet Earth,planet earth,planet earth,text_location,1,,
,,,unknown,0,,
"portland, oregon","portland, oregon","portland, oregon",text_location,1,,
,,,unknown,0,,
"Berlin, Germany","berlin, germany","berlin, germany",text_location,1,,
,,,unknown,0,,
"new haven, ct","new haven, ct","new haven, ct",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
UK,uk,uk,text_location,1,,
,,,unknown,0,,
"South OC, CA","south oc, ca","south oc, ca",text_location,1,,
,,,unknown,0,,
"Jack London Square, Oakland","jack london square, oakland","jack london square, oakland",text_location,1,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Berlin, Germany","berlin, germany","berlin, germany",text_location,1,,
,,,unknown,0,,
"Taubaté, Vale do Paraíba","taubaté, vale do paraíba","taubaté, vale do paraíba",text_location,1,,
,,,unknown,0,,
Brazil,brazil,brazil,text_location,1,,
,,,unknown,0,,
Vancouver,vancouver,vancouver,text_location,1,,
,,,unknown,0,,
"Research Triangle Park, NC","research triangle park, nc","research triangle park, nc",text_location,1,,
,,,unknown,0,,
The Nucleus of Joy:,the nucleus of joy:,the nucleus of joy,text_location,1,,
,,,unknown,0,,
Northumberland,northumberland,northumberland,text_location,1,,
,,,unknown,0,,
"Boynton Beach, FL","boynton beach, fl","boynton beach, fl",text_location,1,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
"Salerno, Italy","salerno, italy","salerno, italy",text_location,1,,
,,,unknown,0,,
Worldwide from The Netherlands,worldwide from the netherlands,worldwide from the netherlands,text_location,1,,
,,,unknown,0,,
Hasanpaşa - KADIKÖY,hasanpaşa - kadiköy,hasanpaşa - kadiköy,text_location,1,,
,,,unknown,0,,
"New York, New York","new york, new york","new york, new york",text_location,1,,
,,,unknown,0,,
Ask GCHQ & the NSA. They know where I am,ask gchq & the nsa. they know where i am,ask gchq  the nsa. they know where i am,text_location,1,,
,,,unknown,0,,
at the gun shop,at the gun shop,at the gun shop,text_location,1,,
,,,unknown,0,,
"London, South West, England","london, south west, england","london, south west, england",text_location,1,,
,,,unknown,0,,
"Dallas, TX","dallas, tx","dallas, tx",text_location,1,,
,,,unknown,0,,
Milky Way,milky way,milky way,text_location,1,,
,,,unknown,0,,
"Madrid, Spain","madrid, spain","madrid, spain",text_location,1,,
,,,unknown,0,,
"Los Angeles, California","los angeles, california","los angeles, california",text_location,1,,
,,,unknown,0,,
"New York, USA","new york, usa","new york, usa",text_location,1,,
,,,unknown,0,,
egypt,egypt,egypt,text_location,1,,
,,,unknown,0,,
Oklahoma/Texas,oklahoma/texas,oklahomatexas,text_location,1,,
,,,unknown,0,,
"Loveland, CO","loveland, co","loveland, co",text_location,1,,
,,,unknown,0,,
Fiji,fiji,fiji,text_location,1,,
,,,unknown,0,,
"Brighton, England","brighton, england","brighton, england",text_location,1,,
,,,unknown,0,,
Kuldīga.,kuldīga.,kuldīga.,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
,,,unknown,0,,
"Chicago, Il","chicago, il","chicago, il",text_location,1,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
"Victoriaville, Qc, Canada","victoriaville, qc, canada","victoriaville, qc, canada",text_location,1,,
,,,unknown,0,,
"Washington, DC","washington, dc","washington, dc",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
istanbul,istanbul,istanbul,text_location,1,,
,,,unknown,0,,
brooklyn,brooklyn,brooklyn,text_location,1,,
,,,unknown,0,,
London,london,london,text_location,1,,
,,,unknown,0,,
"ÜT: 43.737164,-79.340141","üt: 43.737164,-79.340141","43.737164,-79.340141",coordinates,1,43.737164,-79.340141
,,,unknown,0,,
global citizen,global citizen,global citizen,text_location,1,,
,,,unknown,0,,
"Surabaya, Indonesia","surabaya, indonesia","surabaya, indonesia",text_location,1,,
,,,unknown,0,,
"Los Gatos, CA","los gatos, ca","los gatos, ca",text_location,1,,
,,,unknown,0,,
Moscow,moscow,moscow,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Ventura, CA","ventura, ca","ventura, ca",text_location,1,,
,,,unknown,0,,
Aichi / Japan,aichi / japan,aichi  japan,text_location,1,,
,,,unknown,0,,
Middlecoast,middlecoast,middlecoast,text_location,1,,
,,,unknown,0,,
"London, England","london, england","london, england",text_location,1,,
,,,unknown,0,,
Gothenburg,gothenburg,gothenburg,text_location,1,,
,,,unknown,0,,
Memorial Union,memorial union,memorial union,text_location,1,,
,,,unknown,0,,
"Baltimore, MD","baltimore, md","baltimore, md",text_location,1,,
,,,unknown,0,,
"New York, NY","new york, ny","new york, ny",text_location,1,,
,,,unknown,0,,
California,california,california,text_location,1,,
,,,unknown,0,,
Ciudad de México,ciudad de méxico,ciudad de méxico,text_location,1,,
,,,unknown,0,,
beijing china earth space ...,beijing china earth space ...,beijing china earth space ...,text_location,1,,
,,,unknown,0,,
"Ponte Vedra, FL; Austin, TX","ponte vedra, fl; austin, tx","ponte vedra, fl austin, tx",text_location,1,,
,,,unknown,0,,
"Frankfurt on the Main, Germany","frankfurt on the main, germany","frankfurt on the main, germany",text_location,1,,
,,,unknown,0,,
ATLantis by way of THIEVELAND,atlantis by way of thieveland,atlantis by way of thieveland,text_location,1,,
,,,unknown,0,,
"Benton Harbor, MI","benton harbor, mi","benton harbor, mi",text_location,1,,
,,,unknown,0,,
San Francisco,san francisco,san francisco,text_location,1,,
,,,unknown,0,,
"Pittsburgh, PA","pittsburgh, pa","pittsburgh, pa",text_location,1,,
,,,unknown,0,,
"portland, oregon","portland, oregon","portland, oregon",text_location,1,,
,,,unknown,0,,
Malaysia,malaysia,malaysia,text_location,1,,
,,,unknown,0,,
"Doha, Qatar","doha, qatar","doha, qatar",text_location,1,,
,,,unknown,0,,
SF Bay Area,sf bay area,sf bay area,text_location,1,,
,,,unknown,0,,
anywhere the wind blows,anywhere the wind blows,anywhere the wind blows,text_location,1,,
,,,unknown,0,,
Las Vegas,las vegas,las vegas,text_location,1,,
,,,unknown,0,,
YYC,yyc,yyc,text_location,1,,
,,,unknown,0,,
"Jakarta, Indonesia.","jakarta, indonesia.","jakarta, indonesia.",text_location,1,,
,,,unknown,0,,
"iPhone: 41.855667,12.488937","iphone: 41.855667,12.488937","41.855667,12.488937",coordinates,1,41.855667,12.488937
,,,unknown,0,,
"I'm on a bike, a blue one.","i'm on a bike, a blue one.","im on a bike, a blue one.",text_location,1,,
,,,unknown,0,,
"Brooklyn, NY","brooklyn, ny","brooklyn, ny",text_location,1,,
,,,unknown,0,,
"Barnoldswick, UK","barnoldswick, uk","barnoldswick, uk",text_location,1,,
,,,unknown,0,,
"Hayward, CA","hayward, ca","hayward, ca",text_location,1,,
,,,unknown,0,,
"iPhone: 41.727821,-73.224327","iphone: 41.727821,-73.224327","41.727821,-73.224327",coordinates,1,41.727821,-73.224327
,,,unknown,0,,
"Denver, CO","denver, co","denver, co",text_location,1,,
,,,unknown,0,,
"San Francisco, CA","san francisco, ca","san francisco, ca",text_location,1,,
,,,unknown,0,,
"Toronto, Canada","toronto, canada","toronto, canada",text_location,1,,
,,,unknown,0,,
Norfolk. UK,norfolk. uk,norfolk. uk,text_location,1,,
,,,unknown,0,,
"Bauru, SP - Brazil","bauru, sp - brazil","bauru, sp - brazil",text_location,1,,
,,,unknown,0,,
"Cazenovia, New York","cazenovia, new york","cazenovia, new york",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"los angeles, ca","los angeles, ca","los angeles, ca",text_location,1,,
,,,unknown,0,,
Where our customers bring me,where our customers bring me,where our customers bring me,text_location,1,,
,,,unknown,0,,
名古屋市守山区,,,unknown,0,,
,,,unknown,0,,
"Bangkok, Thailand","bangkok, thailand","bangkok, thailand",text_location,1,,
,,,unknown,0,,
Belgrade / Serbia,belgrade / serbia,belgrade  serbia,text_location,1,,
,,,unknown,0,,
"Vicinity of Milwaukee, WI","vicinity of milwaukee, wi","vicinity of milwaukee, wi",text_location,1,,
,,,unknown,0,,
Bonn,bonn,bonn,text_location,1,,
,,,unknown,0,,
"San Carlos, Ca","san carlos, ca","san carlos, ca",text_location,1,,
,,,unknown,0,,
"Santiago, Chile","santiago, chile","santiago, chile",text_location,1,,
,,,unknown,0,,
Secunderabad,secunderabad,secunderabad,text_location,1,,
,,,unknown,0,,
"Toronto, Canada","toronto, canada","toronto, canada",text_location,1,,
,,,unknown,0,,
Usually in SF,usually in sf,usually in sf,text_location,1,,
,,,unknown,0,,
San Francisco,san francisco,san francisco,text_location,1,,
,,,unknown,0,,
"San Jose, California","san jose, california","san jose, california",text_location,1,,
,,,unknown,0,,
"Madrid, Spain","madrid, spain","madrid, spain",text_location,1,,
,,,unknown,0,,
"Brooklyn, NY","brooklyn, ny","brooklyn, ny",text_location,1,,
,,,unknown,0,,
1611,1611,1611,text_location,1,,
,,,unknown,0,,
"London, England","london, england","london, england",text_location,1,,
,,,unknown,0,,
"Jarosław, Polska","jarosław, polska","jarosław, polska",text_location,1,,
,,,unknown,0,,
"35.626915,139.888783","35.626915,139.888783","35.626915,139.888783",coordinates,1,35.626915,139.888783
,,,unknown,0,,
"Akashi, Hyogo, Japan","akashi, hyogo, japan","akashi, hyogo, japan",text_location,1,,
,,,unknown,0,,
New Yawk,new yawk,new yawk,text_location,1,,
,,,unknown,0,,
Bellevue WA,bellevue wa,bellevue wa,text_location,1,,
,,,unknown,0,,
In the middle of The Buiting,in the middle of the buiting,in the middle of the buiting,text_location,1,,
,,,unknown,0,,
Brooklyn - Brattleboro,brooklyn - brattleboro,brooklyn - brattleboro,text_location,1,,
,,,unknown,0,,
"Seattle, WA","seattle, wa","seattle, wa",text_location,1,,
,,,unknown,0,,
Oklahoma City/Philadelphia,oklahoma city/philadelphia,oklahoma cityphiladelphia,text_location,1,,
,,,unknown,0,,
Oklahoma City,oklahoma city,oklahoma city,text_location,1,,
,,,unknown,0,,
"Saint Paul, Minnesota, USA","saint paul, minnesota, usa","saint paul, minnesota, usa",text_location,1,,
,,,unknown,0,,
Budapest,budapest,budapest,text_location,1,,
,,,unknown,0,,
Bandung,bandung,bandung,text_location,1,,
,,,unknown,0,,
www.lacarmina.com/blog,www.lacarmina.com/blog,www.lacarmina.comblog,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Milano,milano,milano,text_location,1,,
,,,unknown,0,,
Chile,chile,chile,text_location,1,,
,,,unknown,0,,
Barcelona & Mallorca,barcelona & mallorca,barcelona  mallorca,text_location,1,,
,,,unknown,0,,
São Paulo,são paulo,são paulo,text_location,1,,
,,,unknown,0,,
"Brooklyn, NY","brooklyn, ny","brooklyn, ny",text_location,1,,
,,,unknown,0,,
Stockholm,stockholm,stockholm,text_location,1,,
,,,unknown,0,,
California Republic,california republic,california republic,text_location,1,,
,,,unknown,0,,
Brooklyn & Los Angeles,brooklyn & los angeles,brooklyn  los angeles,text_location,1,,
,,,unknown,0,,
"Yogyakarta, Indonesia","yogyakarta, indonesia","yogyakarta, indonesia",text_location,1,,
,,,unknown,0,,
"New Orleans, Louisiana","new orleans, louisiana","new orleans, louisiana",text_location,1,,
,,,unknown,0,,
Brasil,brasil,brasil,text_location,1,,
,,,unknown,0,,
Denmark,denmark,denmark,text_location,1,,
,,,unknown,0,,
España - Madrid,españa - madrid,españa - madrid,text_location,1,,
,,,unknown,0,,
"Portland, OR","portland, or","portland, or",text_location,1,,
,,,unknown,0,,
"Horsham, West Sussex, UK","horsham, west sussex, uk","horsham, west sussex, uk",text_location,1,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
"London, England","london, england","london, england",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Indianapolis,indianapolis,indianapolis,text_location,1,,
,,,unknown,0,,
dallas texas usa,dallas texas usa,dallas texas usa,text_location,1,,
,,,unknown,0,,
♡ In my dreams ♡,in my dreams,in my dreams,text_location,1,,
,,,unknown,0,,
"Seattle, WA","seattle, wa","seattle, wa",text_location,1,,
,,,unknown,0,,
"Dublin City, Ireland","dublin city, ireland","dublin city, ireland",text_location,1,,
,,,unknown,0,,
"Derby, UK","derby, uk","derby, uk",text_location,1,,
,,,unknown,0,,
Los Angeles,los angeles,los angeles,text_location,1,,
,,,unknown,0,,
"Houston, Texas","houston, texas","houston, texas",text_location,1,,
,,,unknown,0,,
"Bury St Edmunds, Suffolk","bury st edmunds, suffolk","bury st edmunds, suffolk",text_location,1,,
,,,unknown,0,,
"Melbourne, Victoria","melbourne, victoria","melbourne, victoria",text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"iPhone: 49.289703,-123.123253","iphone: 49.289703,-123.123253","49.289703,-123.123253",coordinates,1,49.289703,-123.123253
,,,unknown,0,,
"Sarrià, Barcelona","sarrià, barcelona","sarrià, barcelona",text_location,1,,
,,,unknown,0,,
New York City,new york city,new york city,text_location,1,,
,,,unknown,0,,
São Paulo,são paulo,são paulo,text_location,1,,
,,,unknown,0,,
Quito,quito,quito,text_location,1,,
,,,unknown,0,,
Paraiso Natural,paraiso natural,paraiso natural,text_location,1,,
,,,unknown,0,,
Burgos-España,burgos-españa,burgos-españa,text_location,1,,
,,,unknown,0,,
United States,united states,united states,text_location,1,,
,,,unknown,0,,
#avl #wnc,#avl #wnc,avl wnc,text_location,1,,
,,,unknown,0,,
"Western MA / Westfield, MA","western ma / westfield, ma","western ma  westfield, ma",text_location,1,,
,,,unknown,0,,
"Indianapolis, IN","indianapolis, in","indianapolis, in",text_location,1,,
,,,unknown,0,,
"Belo Horizonte, Brasil","belo horizonte, brasil","belo horizonte, brasil",text_location,1,,
,,,unknown,0,,
San Francisco Bay Area,san francisco bay area,san francisco bay area,text_location,1,,
,,,unknown,0,,
Worcester,worcester,worcester,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
LA,la,la,text_location,1,,
,,,unknown,0,,
Hong Kong via Singapore,hong kong via singapore,hong kong via singapore,text_location,1,,
,,,unknown,0,,
South Tyneside UK,south tyneside uk,south tyneside uk,text_location,1,,
,,,unknown,0,,
Bangalore,bangalore,bangalore,text_location,1,,
,,,unknown,0,,
"Xalapa, México.","xalapa, méxico.","xalapa, méxico.",text_location,1,,
,,,unknown,0,,
"Toronto, Ontario","toronto, ontario","toronto, ontario",text_location,1,,
,,,unknown,0,,
Indonesia,indonesia,indonesia,text_location,1,,
,,,unknown,0,,
"Paris, France","paris, france","paris, france",text_location,1,,
,,,unknown,0,,
"Shreveport, LA","shreveport, la","shreveport, la",text_location,1,,
,,,unknown,0,,
Seattle.,seattle.,seattle.,text_location,1,,
,,,unknown,0,,
"Oslo, Norway","oslo, norway","oslo, norway",text_location,1,,
,,,unknown,0,,
Saint-Petersburg,saint-petersburg,saint-petersburg,text_location,1,,
,,,unknown,0,,
"Oakland, CA","oakland, ca","oakland, ca",text_location,1,,
,,,unknown,0,,
London,london,london,text_location,1,,
,,,unknown,0,,
New York | Paris | London,new york | paris | london,new york  paris  london,text_location,1,,
,,,unknown,0,,
Minneapolis and LA,minneapolis and la,minneapolis and la,text_location,1,,
,,,unknown,0,,
"Orlando, FL","orlando, fl","orlando, fl",text_location,1,,
,,,unknown,0,,
Earth,earth,earth,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
Barcelona,barcelona,barcelona,text_location,1,,
,,,unknown,0,,
,,,unknown,0,,
,,,unknown,0,,
"Buenos Aires, Argentina","buenos aires, argentina","buenos aires, argentina",text_location,1,,
,,,unknown,0,,
youtaite @ ask me,youtaite @ ask me,youtaite  ask me,text_location,1,,
,,,unknown,0,,
"Gilbert, AZ","gilbert, az","gilbert, az",text_location,1,,
,,,unknown,0,,
"iPhone: 1.341726,103.692192","iphone: 1.341726,103.692192","1.341726,103.692192",coordinates,1,1.341726,103.692192
,,,unknown,0,,
"Envigado, Colombia","envigado, colombia","envigado, colombia",text_location,1,,
,,,unknown,0,,
"lexington, kentucky","lexington, kentucky","lexington, kentucky",text_location,1,,
,,,unknown,0,,
los angeles/seattle/who knows?,los angeles/seattle/who knows?,los angelesseattlewho knows,text_location,1,,
,,,unknown,0,,
Dudley and Birmingham (UK),dudley and birmingham (uk),dudley and birmingham uk,text_location,1,,
,,,unknown,0,,
Jakarta/ Bali -Andalucia/Spain,jakarta/ bali -andalucia/spain,jakarta bali -andaluciaspain,text_location,1,,
,,,unknown,0,,
"LA  - Lake Arrowhead, CA","la - lake arrowhead, ca","la - lake arrowhead, ca",text_location,1,,
,,,unknown,0,,
"Billings, MT","billings, mt","billings, mt",text_location,1,,
,,,unknown,0,,
Castelnuovo Berardenga,castelnuovo berardenga,castelnuovo berardenga,text_location,1,,
,,,unknown,0,,
Las Palmas de Gran Canaria,las palmas de gran canaria,las palmas de gran canaria,text_location,1,,
,,,unknown,0,,
Arraial do Cabo,arraial do cabo,arraial do cabo,text_location,1,,
,,,unknown,0,,
Buenos Aires,buenos aires,buenos aires,text_location,1,,
,,,unknown,0,,
"Kortenberg, België","kortenberg, belgië","kortenberg, belgië",text_location,1,,
,,,unknown,0,,
Chile / Mexico,chile / mexico,chile  mexico,text_location,1,,
,,,unknown,0,,
São Paulo,são paulo,são paulo,text_location,1,,
,,,unknown,0,,
Prague,prague,prague,text_location,1,,
,,,unknown,0,,
Colima Col.,colima col.,colima col.,text_location,1,,
,,,unknown,0,,
"Barcelona, Spain","barcelona, spain","barcelona, spain",text_location,1,,
,,,unknown,0,,
"Porto, Portugal","porto, portugal","porto, portugal",text_location,1,,
,,,unknown,0,,
General San Martín,general san martín,general san martín,text_location,1,,
,,,unknown,0,,
"Montreal, QC","montreal, qc","montreal, qc",text_location,1,,
,,,unknown,0,,
"Cobourg, Ontario","cobourg, ontario","cobourg, ontario",text_location,1,,
,,,unknown,0,,
Stewiacke Nova Scotia canada,stewiacke nova scotia canada,stewiacke nova scotia canada,text_location,1,,
,,,unknown,0,,
"Sydney, Australia","sydney, australia","sydney, australia",text_location,1,,
,,,unknown,0,,
"Toronto, ON","toronto, on","toronto, on",text_location,1,,
,,,unknown,0,,
"Los Angeles, CA","los angeles, ca","los angeles, ca",text_location,1,,
,,,unknown,0,,
