"profile_row_id_a","profile_row_id_b","pair_type","label","probability","decision"
"672","673","exact_match","1","1.0","MATCH_EXACT"
"723","5621","exact_match","0","1.0","MATCH_EXACT"
"905","907","exact_match","1","1.0","MATCH_EXACT"
"905","908","exact_match","1","1.0","MATCH_EXACT"
"906","907","exact_match","1","1.0","MATCH_EXACT"
"906","908","exact_match","1","1.0","MATCH_EXACT"
"907","908","exact_match","1","1.0","MATCH_EXACT"
"1052","3710","exact_match","0","1.0","MATCH_EXACT"
"1052","3711","exact_match","0","1.0","MATCH_EXACT"
"1363","36037","exact_match","0","1.0","MATCH_EXACT"
"1363","36038","exact_match","0","1.0","MATCH_EXACT"
"1433","1436","exact_match","1","1.0","MATCH_EXACT"
"1434","1435","exact_match","1","1.0","MATCH_EXACT"
"1435","32670","exact_match","0","1.0","MATCH_EXACT"
"1544","1545","exact_match","1","1.0","MATCH_EXACT"
"1552","1553","exact_match","1","1.0","MATCH_EXACT"
"1558","1559","exact_match","1","1.0","MATCH_EXACT"
"1568","1569","exact_match","1","1.0","MATCH_EXACT"
"1572","1573","exact_match","1","1.0","MATCH_EXACT"
"1578","1579","exact_match","1","1.0","MATCH_EXACT"
"1584","1585","exact_match","1","1.0","MATCH_EXACT"
"1586","1587","exact_match","1","1.0","MATCH_EXACT"
"1600","1601","exact_match","1","1.0","MATCH_EXACT"
"1616","1617","exact_match","1","1.0","MATCH_EXACT"
"1624","1625","exact_match","1","1.0","MATCH_EXACT"
"1638","1639","exact_match","1","1.0","MATCH_EXACT"
"1646","1647","exact_match","1","1.0","MATCH_EXACT"
"1650","1651","exact_match","1","1.0","MATCH_EXACT"
"1660","1661","exact_match","1","1.0","MATCH_EXACT"
"1662","1663","exact_match","1","1.0","MATCH_EXACT"
"1668","1669","exact_match","1","1.0","MATCH_EXACT"
"1670","1671","exact_match","1","1.0","MATCH_EXACT"
"1692","1693","exact_match","1","1.0","MATCH_EXACT"
"1694","1695","exact_match","1","1.0","MATCH_EXACT"
"1698","1699","exact_match","1","1.0","MATCH_EXACT"
"1710","1711","exact_match","1","1.0","MATCH_EXACT"
"1716","1717","exact_match","1","1.0","MATCH_EXACT"
"1722","1723","exact_match","1","1.0","MATCH_EXACT"
"1730","1731","exact_match","1","1.0","MATCH_EXACT"
"1736","1737","exact_match","1","1.0","MATCH_EXACT"
"1750","1751","exact_match","1","1.0","MATCH_EXACT"
"1758","1759","exact_match","1","1.0","MATCH_EXACT"
"1766","1767","exact_match","1","1.0","MATCH_EXACT"
"1770","1771","exact_match","1","1.0","MATCH_EXACT"
"1776","1777","exact_match","1","1.0","MATCH_EXACT"
"1784","1785","exact_match","1","1.0","MATCH_EXACT"
"1794","1795","exact_match","1","1.0","MATCH_EXACT"
"1834","1835","exact_match","1","1.0","MATCH_EXACT"
"1838","1839","exact_match","1","1.0","MATCH_EXACT"
"1856","1857","exact_match","1","1.0","MATCH_EXACT"
"1862","1863","exact_match","1","1.0","MATCH_EXACT"
